ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,pe,pb,total_mv
300750.SZ,2025-11-07,393.5,397.51,388.88,395.37,394.68,0.69,0.1748,165548.92,6516185.371,0.389,0.6,35.5526,5.741,180410599.5238
300750.SZ,2025-11-10,398.4,400.31,383.32,384.51,395.37,-10.86,-2.7468,238959.91,9267204.047,0.5615,0.98,34.5761,5.5833,175455091.7442
300750.SZ,2025-11-11,386.0,394.77,384.5,385.6,384.51,1.09,0.2835,193031.75,7500041.113,0.4536,0.81,34.6741,5.5992,175952467.7552
300750.SZ,2025-11-12,390.78,392.99,383.98,386.38,385.6,0.78,0.2023,212998.25,8261238.197,0.5005,0.93,34.7442,5.6105,176308388.2035
300750.SZ,2025-11-13,385.05,421.3,385.05,415.6,386.38,29.22,7.5625,562654.49,22945441.956,1.3221,2.69,37.3717,6.0348,189641715.7652
300750.SZ,2025-11-14,407.0,414.6,403.88,404.12,415.6,-11.48,-2.7623,241721.2,9879119.548,0.568,0.88,36.3394,5.8681,184403296.86
300750.SZ,2025-11-17,388.0,392.4,382.5,390.78,404.12,-13.34,-3.301,476855.03,18542294.255,1.1205,1.65,35.1399,5.6744,178316144.5783
300750.SZ,2025-11-18,389.0,398.63,381.0,385.0,390.78,-5.78,-1.4791,395658.14,15353867.657,0.9297,1.17,34.6201,5.5904,175678682.795
300750.SZ,2025-11-19,385.5,398.44,384.96,391.1,385.0,6.1,1.5844,292666.86,11462348.543,0.6876,0.77,35.1701,5.6783,178469636.2843
300750.SZ,2025-11-20,394.9,395.0,377.01,379.39,391.1,-11.71,-2.9941,336742.85,12895238.923,0.7912,0.85,34.1193,5.5078,173137438.9181
300750.SZ,2025-11-21,375.0,383.0,370.0,370.0,379.39,-9.39,-2.475,316313.35,11850710.342,0.7432,0.91,33.2749,5.3715,168852242.81
300750.SZ,2025-11-24,373.8,374.9,367.18,370.55,370.0,0.55,0.1486,228458.19,8464724.008,0.5367,0.63,33.3243,5.3795,169103239.3872
300750.SZ,2025-11-25,375.0,379.66,370.59,372.36,370.55,1.81,0.4885,206332.46,7733117.132,0.4848,0.66,33.4871,5.4058,169929246.3047
300750.SZ,2025-11-26,375.5,375.5,370.07,372.82,372.36,0.46,0.1235,189106.6,7048903.988,0.4443,0.68,33.5285,5.4124,170139170.7147
300750.SZ,2025-11-27,373.0,378.88,370.0,371.2,372.82,-1.62,-0.4345,222002.59,8289124.681,0.5216,0.87,33.3828,5.3889,169399871.7056
300750.SZ,2025-11-28,370.5,375.48,366.16,373.2,371.2,2.0,0.5388,203402.63,7542337.298,0.4779,0.88,33.5626,5.418,170312586.5316
300750.SZ,2025-12-01,374.76,382.97,374.03,382.97,373.2,9.77,2.6179,267510.13,10120862.871,0.6285,1.27,34.4413,5.5598,174771198.4566
300750.SZ,2025-12-02,383.5,384.98,377.4,380.08,382.97,-2.89,-0.7546,163484.61,6220569.502,0.3841,0.75,34.1814,5.5178,173452325.533
300750.SZ,2025-12-03,380.09,383.37,375.0,376.08,380.08,-4.0,-1.0524,139911.35,5294871.743,0.3287,0.67,33.8217,5.4598,171626895.881
300750.SZ,2025-12-04,379.19,383.6,375.15,383.35,376.08,7.27,1.9331,191658.09,7299943.081,0.4503,0.96,34.4755,5.5653,174944614.2736
300750.SZ,2025-12-05,387.2,389.31,382.0,389.09,383.35,5.74,1.4973,232915.59,9004580.816,0.5472,1.21,34.9919,5.6487,177565424.5669
300750.SZ,2025-12-08,390.43,395.38,385.5,392.5,389.09,3.41,0.8764,216597.58,8476698.7,0.5089,1.09,35.2986,5.6982,179121628.3263
300750.SZ,2025-12-09,391.5,392.26,386.0,387.59,392.5,-4.91,-1.251,186917.73,7255076.087,0.4391,0.99,34.857,5.6269,176880896.619
300750.SZ,2025-12-10,385.05,388.0,377.26,382.38,387.59,-5.21,-1.3442,194334.05,7399361.241,0.4566,1.0,34.3885,5.5513,174503256.6609
300750.SZ,2025-12-11,384.9,398.86,383.38,388.99,382.38,6.61,1.7286,282153.78,11089031.995,0.6629,1.38,34.9829,5.6472,177519801.7901
300750.SZ,2025-12-12,392.0,393.39,385.5,391.8,388.99,2.81,0.7224,240020.22,9355490.916,0.5639,1.08,35.2356,5.688,178802175.7407
300750.SZ,2025-12-15,391.5,394.97,385.21,385.5,391.8,-6.3,-1.608,182749.93,7099251.459,0.4294,0.82,34.6691,5.5966,175927102.4708
300750.SZ,2025-12-16,386.0,389.08,378.03,378.41,385.5,-7.09,-1.8392,191216.76,7292054.835,0.4492,0.88,34.0314,5.4936,172691504.14
300750.SZ,2025-12-17,376.45,384.5,375.06,383.42,378.41,5.01,1.324,222574.08,8453303.234,0.5229,1.02,34.482,5.5664,174977871.9308
300750.SZ,2025-12-18,379.57,380.95,370.01,372.0,383.42,-11.42,-2.9785,296392.83,11079385.459,0.6963,1.32,33.455,5.4006,169766231.178
300750.SZ,2025-12-19,374.08,377.68,370.8,374.0,372.0,2.0,0.5376,175599.45,6572807.89,0.4126,0.77,33.6348,5.4296,170678952.851
300750.SZ,2025-12-22,376.0,377.99,368.1,371.84,374.0,-2.16,-0.5775,254935.38,9489773.616,0.5989,1.19,33.4406,5.3983,169693213.4442
300750.SZ,2025-12-23,372.0,380.5,371.6,378.1,371.84,6.26,1.6835,236040.86,8879315.764,0.5546,1.03,34.0036,5.4891,172550032.2807
300750.SZ,2025-12-24,378.08,378.08,372.0,375.6,378.1,-2.5,-0.6612,210883.87,7902857.946,0.4955,0.89,33.7787,5.4528,171409130.1894
300750.SZ,2025-12-25,374.21,374.21,369.12,373.01,375.6,-2.59,-0.6896,203431.44,7559336.244,0.4779,0.87,33.5458,5.4152,170227155.6229
300750.SZ,2025-12-26,372.96,378.0,370.1,374.43,373.01,1.42,0.3807,257236.89,9616116.053,0.6044,1.19,33.6735,5.4358,170875333.8512
300750.SZ,2025-12-29,374.0,374.43,368.0,369.31,374.43,-5.12,-1.3674,241240.72,8924502.783,0.5668,1.04,33.2131,5.3615,168538764.3741
300750.SZ,2025-12-30,367.1,371.0,366.56,369.2,369.31,-0.11,-0.0298,190308.21,7014015.794,0.4471,0.83,33.2032,5.3599,168488564.6392
300750.SZ,2025-12-31,369.79,372.0,367.15,367.26,369.2,-1.94,-0.5255,160265.97,5920431.545,0.3765,0.73,33.0287,5.3318,167603223.8608
300750.SZ,2026-01-05,370.0,378.0,368.19,377.5,367.26,10.24,2.7882,336881.35,12583419.574,0.7915,1.6,33.9496,5.4804,172276362.815
300750.SZ,2026-01-06,380.0,380.5,369.04,373.99,377.5,-3.51,-0.9298,341477.1,12764795.667,0.8023,1.44,33.634,5.4295,170674534.9117
300750.SZ,2026-01-07,372.95,375.48,368.49,371.01,373.99,-2.98,-0.7968,262285.35,9730943.679,0.6162,1.03,33.366,5.3862,169314578.4583
300750.SZ,2026-01-08,368.0,373.33,367.0,369.21,371.01,-1.8,-0.4852,269590.35,9962397.48,0.6334,1.04,33.2055,5.3603,168500188.5804
300750.SZ,2026-01-09,369.17,377.63,367.01,369.23,369.21,0.02,0.0054,314771.87,11681035.309,0.7395,1.15,33.2073,5.3606,168509316.1874
300750.SZ,2026-01-12,368.0,368.0,351.66,361.68,369.23,-7.55,-2.0448,488307.39,17505537.199,1.1472,1.6,32.5283,5.251,165063644.554
300750.SZ,2026-01-13,366.25,367.77,357.0,359.0,361.68,-2.68,-0.741,296709.2,10745692.37,0.6971,0.88,32.2872,5.2121,163840545.2192
300750.SZ,2026-01-14,360.03,361.22,351.71,353.98,359.0,-5.02,-1.3983,380833.65,13553362.724,0.8947,1.17,31.8358,5.1392,161549515.8682
300750.SZ,2026-01-15,352.75,358.28,351.8,353.75,353.98,-0.23,-0.065,323709.12,11474019.06,0.7605,0.92,31.8151,5.1358,161444548.388
300750.SZ,2026-01-16,357.99,361.72,351.51,352.32,353.75,-1.43,-0.4042,319818.42,11350569.563,0.7514,0.89,31.6865,5.1151,160791924.4892
300750.SZ,2026-01-19,351.47,355.34,345.33,348.9,352.32,-3.42,-0.9707,338642.84,11842421.264,0.7956,0.94,31.3789,5.0654,159231103.6963
300750.SZ,2026-01-20,350.0,356.91,347.9,349.6,348.9,0.7,0.2006,354405.89,12466608.9,0.8326,1.07,31.4418,5.0756,159550569.9405
300750.SZ,2026-01-21,351.94,357.69,349.0,349.81,349.6,0.21,0.0601,393935.73,13919426.405,0.9255,1.15,31.4607,5.0786,159646409.8137
300750.SZ,2026-01-22,351.03,353.73,339.5,345.8,349.81,-4.01,-1.1463,459948.18,15851213.229,1.0806,1.33,31.1001,5.0204,157816324.615
300750.SZ,2026-01-23,348.01,350.0,343.25,347.0,345.8,1.2,0.347,339761.27,11775914.386,0.7982,0.91,31.208,5.0378,158363981.0336
300750.SZ,2026-01-26,352.02,352.55,341.21,342.05,347.0,-4.95,-1.4265,332913.86,11468681.279,0.7821,0.88,30.7628,4.966,156104898.307
300750.SZ,2026-01-27,344.89,344.9,334.02,339.4,342.05,-2.65,-0.7747,322948.85,10953698.562,0.7587,0.86,30.5245,4.9275,154895490.3827
300750.SZ,2026-01-28,337.88,344.0,333.01,339.99,339.4,0.59,0.1738,463081.71,15638344.009,1.0879,1.25,30.5775,4.9361,155164754.7885
300750.SZ,2026-01-29,340.5,345.16,338.16,341.89,339.99,1.9,0.5588,338444.19,11569006.794,0.7951,0.88,30.7484,4.9636,156031877.4512
300750.SZ,2026-01-30,348.4,353.76,344.1,350.0,341.89,8.11,2.3721,486501.15,17048600.0,1.1429,1.35,31.4778,5.0814,159733122.08
300750.SZ,2026-02-02,357.0,357.99,344.13,348.98,350.0,-1.02,-0.2914,391917.47,13766144.458,0.9207,1.01,31.3861,5.0666,159267614.1242
300750.SZ,2026-02-03,349.0,352.8,343.5,347.91,348.98,-1.07,-0.3066,265163.25,9220045.792,0.6229,0.66,31.2898,5.051,158779287.151
300750.SZ,2026-02-04,350.96,366.65,347.51,365.03,347.91,17.12,4.9208,485316.85,17369398.062,1.1402,1.25,32.8296,5.2996,166592518.7225
300750.SZ,2026-02-05,365.77,366.75,356.02,362.94,365.03,-2.09,-0.5726,284271.57,10268243.283,0.6678,0.72,32.6416,5.2693,165638683.7935
300750.SZ,2026-02-06,359.32,372.88,358.01,369.11,362.94,6.17,1.7,393726.18,14514523.059,0.925,1.03,33.1968,5.3589,168456257.0149
300750.SZ,2026-02-09,370.5,372.5,362.6,368.82,369.11,-0.29,-0.0786,274486.3,10080946.319,0.6448,0.75,33.1707,5.3547,168323905.373
300750.SZ,2026-02-10,365.17,370.8,364.0,364.97,368.82,-3.85,-1.0439,185634.99,6798020.174,0.4361,0.55,32.8246,5.2987,166567159.2952
300750.SZ,2026-02-11,366.9,370.99,364.5,368.0,364.97,3.03,0.8302,196534.59,7239804.071,0.4617,0.61,33.0971,5.3427,167950008.5504
300750.SZ,2026-02-12,370.0,377.88,368.03,375.87,368.0,7.87,2.1386,277545.8,10410892.196,0.652,1.04,33.8049,5.457,171541765.5267
300750.SZ,2026-02-13,375.61,377.0,365.01,365.34,375.87,-10.53,-2.8015,223145.32,8229700.941,0.5242,0.84,32.8578,5.3041,166736022.0756
300750.SZ,2026-02-24,372.64,373.5,361.95,361.95,365.34,-3.39,-0.9279,226951.31,8316534.693,0.5332,0.98,32.5529,5.2549,165188873.899
300750.SZ,2026-02-25,363.69,366.6,360.1,362.18,361.95,0.23,0.0635,187166.39,6802110.619,0.4397,0.84,32.5736,5.2582,165293842.6543
300750.SZ,2026-02-26,356.05,358.2,343.5,346.0,362.18,-16.18,-4.4674,435413.81,15108143.01,1.0229,1.96,31.1184,5.0233,157909518.9088
300750.SZ,2026-02-27,347.12,348.94,342.01,342.01,346.0,-3.99,-1.1532,254466.2,8775054.149,0.5978,0.94,30.7596,4.9654,156088539.1965
300750.SZ,2026-03-02,341.0,344.9,336.68,340.22,342.01,-1.79,-0.5234,283513.26,9643254.984,0.6661,1.07,30.5986,4.9394,155271608.4484
300750.SZ,2026-03-03,346.33,354.35,344.03,344.07,340.22,3.85,1.1316,400074.79,13919957.238,0.9399,1.44,30.9449,4.9953,157028694.1357
300750.SZ,2026-03-04,341.1,342.02,334.2,338.9,344.07,-5.17,-1.5026,250804.41,8468604.902,0.5892,0.8,30.4799,4.9202,154669179.0699
300750.SZ,2026-03-05,344.58,353.85,342.66,350.25,338.9,11.35,3.3491,310060.68,10819502.021,0.7284,0.95,31.5007,5.085,159849158.9532
300750.SZ,2026-03-06,349.0,357.02,344.66,354.77,350.25,4.52,1.2905,209631.13,7388868.682,0.4925,0.7,31.9073,5.1506,161912378.952
300750.SZ,2026-03-09,348.84,359.85,345.06,357.5,354.77,2.73,0.7695,317976.13,11217996.825,0.747,1.09,32.1528,5.1902,163158315.177
300750.SZ,2026-03-10,375.0,379.77,366.5,376.3,357.5,18.8,5.2587,507417.28,19049080.513,1.1921,1.7,23.7861,5.0941,171738388.8143
300750.SZ,2026-03-11,379.58,403.55,378.98,396.8,376.3,20.5,5.4478,575986.85,22642696.276,1.3531,1.8,25.0819,5.3717,181094320.1741
300750.SZ,2026-03-12,400.0,400.9,392.7,395.5,396.8,-1.3,-0.3276,291503.75,11537671.607,0.6848,0.76,24.9997,5.3541,180501017.2098
300750.SZ,2026-03-13,393.88,403.99,393.8,397.0,395.5,1.5,0.3793,355826.39,14201304.444,0.8359,0.94,25.0945,5.3744,181185597.5532
300750.SZ,2026-03-16,401.77,413.17,398.0,408.4,397.0,11.4,2.8715,373521.04,15195015.005,0.8775,0.91,25.8151,5.5287,186388408.163
300750.SZ,2026-03-17,415.78,420.0,404.56,405.0,408.4,-3.4,-0.8325,359806.78,14787230.79,0.8453,0.85,25.6002,5.4827,184836692.718
300750.SZ,2026-03-18,405.36,406.0,396.77,402.02,405.0,-2.98,-0.7358,265299.96,10653633.584,0.6233,0.68,25.4118,5.4423,183476659.7691
300750.SZ,2026-03-19,401.94,414.0,400.0,400.5,402.02,-1.52,-0.3781,292866.35,11867380.765,0.688,0.89,25.3157,5.4218,182782951.6878
300750.SZ,2026-03-20,405.08,422.08,400.13,413.0,400.5,12.5,3.1211,537296.77,22252017.693,1.2623,1.63,26.1059,5.591,188487787.8828
300750.SZ,2026-03-23,417.33,417.36,398.75,401.99,413.0,-11.01,-2.6659,446141.45,18193336.487,1.0481,1.22,25.4099,5.4419,183462968.1622
300750.SZ,2026-03-24,405.0,411.9,388.0,396.99,401.99,-5.0,-1.2438,364105.25,14439124.61,0.8554,0.96,25.0939,5.3742,181181033.6842
300750.SZ,2026-03-25,393.0,400.5,387.8,397.81,396.99,0.82,0.2066,267528.28,10553996.247,0.6285,0.7,25.1457,5.3853,181555270.9386
300750.SZ,2026-03-26,393.84,413.72,392.0,402.5,397.81,4.69,1.179,267636.97,10811439.764,0.6288,0.7,25.4422,5.4488,183695725.479
300750.SZ,2026-03-27,406.12,418.33,401.73,416.18,402.5,13.68,3.3988,302580.43,12465856.864,0.7108,0.8,26.3069,5.634,189939098.2108
300750.SZ,2026-03-30,413.0,418.85,405.6,413.0,416.18,-3.18,-0.7641,253484.19,10440376.424,0.5955,0.77,26.1059,5.591,188487787.8828
300750.SZ,2026-03-31,413.0,416.95,401.58,401.7,413.0,-11.3,-2.7361,249256.45,10159878.346,0.5856,0.86,25.3916,5.438,183330615.9625
300750.SZ,2026-04-01,409.73,409.87,396.0,405.71,401.7,4.01,0.9983,231700.73,9384266.504,0.5443,0.86,25.6451,5.4923,185160727.4139
300750.SZ,2026-04-02,407.9,411.99,397.2,401.17,405.71,-4.54,-1.119,223056.38,8988161.794,0.524,0.85,25.3581,5.4308,183088730.9079
300750.SZ,2026-04-03,400.0,400.8,385.13,386.46,401.17,-14.71,-3.6668,247515.01,9640031.385,0.5815,0.98,24.4283,5.2317,176375279.6736
300750.SZ,2026-04-07,389.98,393.2,381.49,384.59,386.46,-1.87,-0.4839,172576.22,6675632.984,0.4054,0.72,24.3111,5.2056,175529094.2767
300750.SZ,2026-04-08,396.5,397.65,388.22,391.3,384.59,6.71,1.7447,364184.43,14315333.338,0.8555,1.62,24.7352,5.2965,178591576.9793
300750.SZ,2026-04-09,394.1,394.28,386.66,389.99,391.3,-1.31,-0.3348,259551.99,10132744.607,0.6097,1.05,24.6524,5.2787,177993685.4233
300750.SZ,2026-04-10,394.0,419.0,392.68,416.0,389.99,26.01,6.6694,507887.02,20752496.341,1.1931,2.0,26.2966,5.6308,189865030.3264
300750.SZ,2026-04-13,418.0,433.33,416.0,427.13,416.0,11.13,2.6755,412399.24,17625505.878,0.9688,1.33,27.0002,5.7814,194944832.7003
300750.SZ,2026-04-14,421.5,432.49,414.4,430.79,427.13,3.66,0.8569,442208.26,18663656.303,1.0388,1.29,27.2315,5.831,196615279.8421
300750.SZ,2026-04-15,438.88,439.46,427.07,431.0,430.79,0.21,0.0487,373536.28,16122379.46,0.8775,0.94,27.2448,5.8338,196711125.1699
300750.SZ,2026-04-16,441.0,460.0,433.02,453.98,431.0,22.98,5.3318,635062.18,28517416.468,1.4919,1.59,28.6976,5.7997,207200109.6509
300750.SZ,2026-04-17,455.96,457.64,441.01,444.2,453.98,-9.78,-2.1543,365358.48,16290232.436,0.8583,0.77,28.0793,5.6747,202736439.2858
300750.SZ,2026-04-20,433.0,437.9,426.01,432.5,444.2,-11.7,-2.6339,529278.21,22768028.85,1.2434,1.19,27.3397,5.5252,197396465.536
300750.SZ,2026-04-21,435.0,450.13,425.1,447.6,432.5,15.1,3.4913,577745.62,25412275.749,1.3572,1.23,28.2943,5.7182,204288226.5293
300750.SZ,2026-04-22,441.01,447.97,433.13,436.35,440.69,-4.34,-0.9848,460254.32,20173924.648,1.0812,0.93,27.5831,6.1139,199153636.3853
300750.SZ,2026-04-23,443.5,443.6,435.0,438.9,436.35,2.55,0.5844,354309.66,15566836.621,0.8323,0.69,27.7443,6.1496,200317476.8179
300750.SZ,2026-04-24,442.0,448.45,438.0,444.9,438.9,6.0,1.3671,395424.97,17517374.359,0.9289,0.86,28.1236,6.2337,203055924.8947
300750.SZ,2026-04-27,444.63,448.76,433.8,434.88,444.9,-10.02,-2.2522,330612.83,14514326.132,0.7767,0.71,27.4902,6.0933,198482716.6065
300750.SZ,2026-04-28,426.19,433.3,423.0,427.67,434.88,-7.21,-1.6579,350121.13,14992134.063,0.8225,0.83,27.0344,5.9923,195192014.8342
300750.SZ,2026-04-29,432.0,445.15,428.0,445.0,427.67,17.33,4.0522,376335.6,16473164.318,0.8841,1.0,28.1299,6.2351,203101565.696
300750.SZ,2026-04-30,446.5,449.5,436.0,436.0,445.0,-9.0,-2.0225,298120.94,13127297.982,0.7003,0.82,27.561,6.109,198993893.5808
300750.SZ,2026-05-06,457.5,465.88,448.63,460.0,436.0,24.0,5.5046,473727.18,21679900.613,1.1129,1.35,29.4757,5.9116,212818669.766
300750.SZ,2026-05-07,468.75,468.75,447.0,451.64,460.0,-8.36,-1.8174,386212.74,17551196.925,0.9073,1.06,28.9401,5.8041,208950921.7676
300750.SZ,2026-05-08,449.0,455.5,436.2,437.0,451.64,-14.64,-3.2415,366048.51,16224287.222,0.8599,0.97,28.002,5.616,202177736.2777
300750.SZ,2026-05-11,440.0,450.51,435.1,446.11,437.0,9.11,2.0847,341901.01,15198345.088,0.8032,0.9,28.5857,5.7331,206392471.2376
300750.SZ,2026-05-12,446.59,446.85,429.29,431.25,446.11,-14.86,-3.331,341514.97,14869224.128,0.8023,0.92,27.6335,5.5421,199517502.9056
300750.SZ,2026-05-13,431.01,436.58,427.08,434.05,431.25,2.8,0.6493,316858.23,13668347.814,0.7443,0.83,27.8129,5.5781,200812920.8955
300750.SZ,2026-05-14,449.38,450.45,427.0,427.0,434.05,-7.05,-1.6242,347046.14,15157645.64,0.8153,0.99,27.3612,5.4875,197551243.4567
300750.SZ,2026-05-15,428.08,431.5,421.0,423.6,427.0,-3.4,-0.7963,297048.93,12638150.862,0.6978,0.87,27.1433,5.4438,195978235.8976
300750.SZ,2026-05-18,420.58,422.9,414.0,417.23,423.6,-6.37,-1.5038,284983.47,11894351.176,0.6695,0.87,26.7351,5.3619,193031159.9706
300750.SZ,2026-05-19,415.86,419.9,406.8,417.92,417.23,0.69,0.1654,260876.68,10805349.153,0.6128,0.82,26.7794,5.3708,193350387.9752
300750.SZ,2026-05-20,417.0,422.99,412.66,414.75,417.92,-3.17,-0.7585,281190.31,11734883.868,0.6606,0.93,26.5762,5.3301,191883789.751
300750.SZ,2026-05-21,419.87,427.62,411.42,411.63,414.75,-3.12,-0.7523,338671.72,14239107.293,0.7956,1.15,26.3763,5.29,190440323.9908
300750.SZ,2026-05-22,414.7,416.5,410.0,411.16,411.63,-0.47,-0.1142,277883.81,11472585.703,0.6528,0.95,26.3462,5.2839,190222878.8282
300750.SZ,2026-05-25,411.28,414.5,400.0,402.88,411.16,-8.28,-2.0138,381977.1,15479408.962,0.8973,1.32,25.8156,5.1775,186392142.7724
300750.SZ,2026-05-26,406.19,408.77,400.36,402.5,402.88,-0.38,-0.0943,350627.03,14152427.064,0.8237,1.14,25.7913,5.1726,186216336.0453
300750.SZ,2026-05-27,413.92,428.9,411.29,414.8,402.5,12.3,3.0559,533728.88,22373358.897,1.2538,1.64,26.5794,5.3307,191906922.2151
300750.SZ,2026-05-28,420.0,420.58,406.2,415.68,414.8,0.88,0.2122,327771.49,13502296.107,0.77,0.87,26.6358,5.342,192314053.5833
300750.SZ,2026-05-29,423.0,430.86,416.55,424.0,415.68,8.32,2.0015,498118.91,21139031.904,1.1702,1.33,27.1689,5.4489,196163295.6104
300750.SZ,2026-06-01,432.1,438.24,418.18,420.1,424.0,-3.9,-0.9198,386004.52,16554495.936,0.9068,0.92,26.919,5.3988,194358963.4102
300750.SZ,2026-06-02,425.0,437.75,423.0,433.89,420.1,13.79,3.2826,387981.6,16719046.201,0.9114,0.93,27.8027,5.576,200738897.0104
300750.SZ,2026-06-03,437.0,437.0,420.1,426.42,433.89,-7.47,-1.7216,385526.08,16460790.913,0.9057,0.9,27.324,5.48,197282906.8731
300750.SZ,2026-06-04,426.42,426.9,407.18,408.2,426.42,-18.22,-4.2728,431154.62,17788218.035,1.0128,1.09,26.1573,5.2455,188858921.0794
300750.SZ,2026-06-05,407.89,412.65,402.7,403.0,408.2,-5.2,-1.2739,287389.3,11711423.57,0.6751,0.69,25.8241,5.1786,186453074.951
300750.SZ,2026-06-08,395.8,402.68,390.7,393.02,403.0,-9.98,-2.4764,286526.36,11335280.87,0.6731,0.76,25.1846,5.0504,181835701.0353
300750.SZ,2026-06-09,399.99,401.87,388.0,399.5,393.02,6.48,1.6488,277351.47,10926469.6166,0.6515,0.78,25.5998,5.1337,184833755.4415
300750.SZ,2026-06-10,395.28,399.0,385.12,388.5,399.5,-11.0,-2.7534,244357.15,9535581.22717,0.574,0.73,24.8949,4.9923,179744465.5545
300750.SZ,2026-06-11,386.98,391.34,380.03,382.2,388.5,-6.3,-1.6216,268654.47,10301875.9156,0.6311,0.88,24.4912,4.9114,176829690.4374
300750.SZ,2026-06-12,389.99,399.54,383.3,394.85,382.2,12.65,3.3098,414208.38,16278999.8834,0.973,1.52,25.3018,5.1134,182682371.0435
300750.SZ,2026-06-15,402.0,407.9,393.41,398.1,394.85,3.25,0.8231,340748.82,13613555.7012,0.8004,1.14,25.5101,5.1555,184186024.851
300750.SZ,2026-06-16,408.88,409.02,398.5,403.53,398.1,5.43,1.364,348392.62,14107808.7348,0.8184,1.13,25.858,5.2258,186698283.3663
300750.SZ,2026-06-17,400.0,403.3,395.58,399.0,403.53,-4.53,-1.1226,250092.64,9965557.90566,0.5875,0.77,25.5677,5.1671,184602421.29
300750.SZ,2026-06-18,400.39,409.89,389.92,391.55,399.0,-7.45,-1.8672,385481.05,15327443.707,0.9055,1.19,25.0904,5.0707,181155584.1005
300750.SZ,2026-06-22,393.0,413.33,386.0,408.98,391.55,17.43,4.4515,594648.44,23926025.746,1.3969,1.71,26.2073,5.2964,189219795.1358
300750.SZ,2026-06-23,411.0,414.04,390.73,392.51,408.98,-16.47,-4.0271,373740.94,14957779.3941,0.8779,0.97,25.1519,5.0831,181599740.3021
300750.SZ,2026-06-24,392.0,399.27,386.66,395.36,392.51,2.85,0.7261,344270.57,13521407.6757,0.8087,0.88,25.3345,5.12,182918329.0256
300750.SZ,2026-06-25,399.88,402.55,392.58,401.9,395.36,6.54,1.6542,324046.38,12900279.0381,0.7612,0.83,25.7536,5.2047,185944143.149
300750.SZ,2026-06-26,401.0,409.81,381.0,381.0,401.9,-20.9,-5.2003,465253.03,18133875.4675,1.0929,1.15,24.4143,4.934,176274492.51
